                                      extracted_emojis                               Sentiment_score
0    i posted some stuff that they took off of it. ...                   (0.41500000000000004, 0.53)
1    very good social media app ,better than fb lit...    (0.36083333333333334, 0.46166666666666667)
2    love it, only thing is videos stop playing bef...                                   (0.25, 0.8)
3    this is one of the best social apps but someti...      (0.3106666666666667, 0.3733333333333333)
4    i've never hsd any problems exept trying to ge...                                  (0.4, 0.375)
5    face book is very important for us because thi...                                  (0.51, 0.75)
6    i like facebook because this has helped me out...      (0.4166666666666667, 0.6666666666666666)
7    facebook the app it's very good you know it's ...     (0.33499999999999996, 0.7633333333333333)
8    i'm talking to people from all all over this p...       (0.258008658008658, 0.4266955266955267)
9    hello, can you create an option in story archi...                 (0.0875, 0.24166666666666667)
10   recently i encounter difficulties in my profil...                              (0.125, 0.36875)
11   i love it i love facebook but i wish that they...    (0.08418367346938778, 0.48520408163265305)
12   i recommend you improve on bold,italics and hi...                                    (0.0, 0.0)
13   like it so much able to display my videos clea...      (0.3333333333333333, 0.6027777777777777)
14   the app is one of the best alternatives in 202...                     (0.5833333333333334, 0.6)
15   in my point of view.. this a totally time wast...                                (0.075, 0.525)
16   as long as we gain benifits from facebook, we ...                               (0.4125, 0.625)
17   i enjoy facebook because i love talking with m...      (0.4666666666666666, 0.7708333333333334)
18   i really like this app i am using this in my d...                                    (0.1, 0.1)
19   face book is a great communication apps.it mak...     (0.26666666666666666, 0.2833333333333333)
20   its a very fabulous app for time pass and ente...      (0.2452294372294372, 0.5585425685425686)
21   xr vmc 50th i think it 4yutefhdg a bit too far...     (0.23977272727272725, 0.6068181818181817)
22   this app is lit..i advice you to download this...                                (0.0675, 0.36)
23   what happening with the app...when we logout o...     (0.43333333333333335, 0.8333333333333334)
24   nice name and photo of your google file appear...      (0.38727272727272727, 0.530909090909091)
25   it was great, it's also fun. i love how you ca...                   (0.6000000000000001, 0.575)
26   good app! i've never had any issues and i've h...     (0.39166666666666666, 0.4000000000000001)
27   there's nothing wrong with this app if you are...                                 (-0.35, 0.55)
28   i love the app but this update that we got tod...                                 (0.35, 0.525)
29   the latest update made switching accounts diff...                                   (0.0, 0.95)
30   i get ads for it on other apps and i literally...     (0.19166666666666668, 0.5416666666666666)
31   i enjoy facebook to connect with family and fr...                               (0.3875, 0.625)
32   it sometimes stucks or gets slower because of ...                                    (0.5, 0.6)
33   i love facebook for the ads, groups and networ...                                  (0.3, 0.425)
34   simply wonderful experience. felt enthusiastic...                   (0.6500000000000001, 0.775)
35   best app for your phone... daily news...and mo...                    (0.5, 0.26666666666666666)
36   love facebook hence the 5 star rating but this...     (0.08222222222222222, 0.3911111111111111)
37   so beautiful app for local news and updates ar...      (0.4166666666666667, 0.4666666666666666)
38   i find this application the best of all. only ...                                   (0.5, 0.65)
39   i really don't like ads especially in my games...    (-0.26666666666666666, 0.7333333333333334)
40   it's extremely difficult, however for us singl...    (-0.19047619047619047, 0.5714285714285714)
41                  easy to use and all perfect to all      (0.7166666666666667, 0.9166666666666667)
42   i have been getting in touch with family and f...                                    (0.5, 0.5)
43   this app is very easy and many pictures of the...                   (0.4158333333333334, 0.625)
44   i use fb for everything , always have always w...     (0.3361111111111111, 0.43333333333333335)
45   super apps wonderful all time favourite song r...       (0.6547619047619048, 0.800595238095238)
46   facebook is a popular app. we can learn a lot ...                    (0.6499999999999999, 0.75)
47   i love it because i can connect it with my gam...                     (0.3, 0.5833333333333334)
48   facebook keeps me informed always, it's an imp...                      (0.3, 0.688888888888889)
