                                      extracted_emojis                               Sentiment_score
0    why flashlight not available in live streaming...     (0.15844155844155844, 0.4857142857142857)
1    note feature not available . lots of update ca...     (0.08333333333333333, 0.3333333333333333)
2    hey team instagram , i like this application b...                                    (0.1, 0.8)
3    it's great but why is the song option not appe...                     (0.5, 0.5166666666666667)
4    we get to learn from some good videos, some r ...      (0.1666666666666667, 0.5888888888888889)
5    honestly love instagram, reels probably the be...      (0.5866666666666667, 0.4966666666666667)
6    instagram has been one of my best social media...    (0.45555555555555555, 0.42777777777777776)
7    stories! stories we listen to from childhood b...     (0.23333333333333334, 0.4166666666666667)
8    dear instagram lmhaving a huhe problem on inst...                                    (0.0, 0.0)
9    bugs appeared a lot for me in music section i ...                                (0.25, 0.8125)
10   it's been very helpful for business and person...    (0.02361111111111111, 0.26805555555555555)
11   i am from india and there are many people in i...                                    (0.5, 0.5)
12   it’s amazing experience for me. it’s giving mo...      (0.5083333333333333, 0.6583333333333333)
13   i love the apps quality only problem is my vid...                                   (0.25, 0.8)
14   my account got a massage that said " suspiciou...                                (0.175, 0.825)
15   its great but the problem is there's a bug and...                                   (0.8, 0.75)
16   first of all i really appreciate for letting m...                  (0.2875, 0.3083333333333333)
17   much much better than tiktok. but still around...                   (0.3333333333333333, 0.375)
18   i am enjoying and appreciating being active on...       (0.2333333333333333, 0.561111111111111)
19   its very very nice app.and i used it before on...                    (0.24000000000000002, 0.7)
20   i like the improvements in terns of protecting...                                    (0.0, 0.0)
21   i dont know why ...but instagram won't let me ...    (0.04545454545454545, 0.15151515151515152)
22   new to me, but having fun with it so far. star...    (0.13896103896103895, 0.45685425685425685)
23   so far i'm loving the quality of content and f...                                (0.425, 0.975)
24   well i don't have to much income and i have to...    (0.41111111111111115, 0.47777777777777775)
25   model in the making i've always used instagram...                 (0.32499999999999996, 0.6375)
26   instagram is very popular social media platfor...     (0.41055555555555556, 0.5027777777777779)
27   very nice platform .. enjoy using it and creat...     (0.32208333333333333, 0.6604166666666667)
28   i enjoy seeing my posts and seeing responses f...     (0.3416666666666666, 0.35555555555555557)
29   using instagram is very easy and there are new...     (0.44992424242424245, 0.6011363636363637)
30   having an important msg that when we go to ins...                                 (0.08, 0.425)
31   mind-blowing social networking.... amezing fil...    (0.24666666666666667, 0.36333333333333334)
32   hi i have my wife's insta account connected wi...                                   (0.0, 0.55)
33   just updated the app and i'm literally not abl...    (0.04805194805194805, 0.39469696969696966)
34   8/25/22: bring back the 60 seconds on ig story...                                (0.175, 0.175)
35   lovely app! just frustrated with the new algor...      (0.2653409090909091, 0.6011363636363636)
36   insta app is better for me because we can make...     (0.21212121212121213, 0.6515151515151515)
37   i have always thought that social media is not...    (-0.07916666666666666, 0.5166666666666667)
38   exilant experience nice app how it helps the p...                    (0.11499999999999999, 0.6)
39   absolutely perfect. i really liked the applica...      (0.5333333333333333, 0.9333333333333332)
40   it is the best platform for everything - memes...      (0.4105218855218855, 0.5616161616161617)
41   very good app. u can make reels and post stori...     (0.45499999999999996, 0.8900000000000001)
42   the new feature of instagram in which while ca...  (0.0037878787878787845, 0.27651515151515155)
43   this app is overall good. but the only problem...      (0.2333333333333333, 0.5333333333333333)
44   it's such a good app...... it makes my day.......                                (0.175, 0.675)
45   not able to upload stories,,remove the option ...                          (-0.48828125, 0.625)
46   it's awesome, easy to use, safe and secure , a...      (0.5833333333333334, 0.7333333333333334)
47   when i try to log in it says that log in faile...    (-0.26666666666666666, 0.6962962962962963)
48   a great platform to share feed , stories and m...                 (0.37500000000000006, 0.3875)
49   nice aap features are easy to use more feature...     (0.44666666666666666, 0.5866666666666667)
50   good day for me to download it a very very goo...                 (0.4275, 0.41166666666666674)
51   i love this app very much but before some days...                   (0.23666666666666666, 0.42)
52   very good social media app. it's give me to a ...    (0.48583333333333334, 0.46166666666666667)
53   recent update fixed all my issues. app works b...    (0.31666666666666665, 0.48333333333333334)
54   i love everything that ig offers. i love its f...                   (0.30000000000000004, 0.55)
55   i can't live without instagram. instagram is t...                  (0.35909090909090907, 0.525)
56   so far liking the editing options. hope more o...                              (0.175, 0.50625)
57   hello instagram i want a system of swipe in my...                                  (0.475, 0.6)
58   very good experience. im usually using instagr...      (0.3058333333333333, 0.6235714285714287)
59   it's a very good app for getting in contact wi...      (0.9099999999999999, 0.7800000000000001)
60   it's fun to use. the only downside is you can'...                                   (0.15, 0.6)
61   i just started using instagram and i realized ...     (0.44523809523809527, 0.4952380952380952)
62   y i can't open my insta? is there any problem ...                                 (0.0, 0.3125)
63   i didn't try the app but i hope that it has pa...      (0.6216666666666666, 0.7233333333333334)
64   i love instagram! such a great way to connect ...                  (0.42000000000000004, 0.595)
65   love this app so much but i'm having trouble p...    (0.15714285714285717, 0.36845238095238103)
66   it was a very good app for me and many people ...     (0.36463636363636365, 0.6980000000000001)
67   this app is very good and helpful as u connect...                   (0.44222222222222224, 0.46)
68   keeps me. updated and always on point... helps...      (0.3181818181818182, 0.5272727272727272)
69   hii team insta ...when i upload my reels it to...    (0.08333333333333333, 0.43333333333333335)
70   i was using insta for years, it was a good exp...    (-0.10725589225589224, 0.6069865319865319)
71   i think instagram is a great platform to promo...    (0.47000000000000003, 0.45999999999999996)
72   instagram is all you need to start make differ...     (0.40714285714285714, 0.5642857142857143)
73   easy to use and best feature options, i spnent...      (0.5833333333333334, 0.5583333333333333)
74   i'm very disappointed bcoz i'm not getting the...                  (-0.2916666666666667, 0.725)
75   firstly i can't explain why people think badly...     (0.35714285714285715, 0.7142857142857143)
76   app crashing again and again. sometimes it doe...                                    (0.0, 0.5)
77   this is a very good app, you can make videos a...                    (0.8158333333333334, 0.86)
78   i really love my instagram  actually iake reel...                (0.40625, 0.39375000000000004)
79   reels are not running. i have changed my phone...                                    (0.0, 0.5)
80   please put an option of archiving the igtv vid...                                    (0.0, 0.0)
81   a lot of good natured videos that is love to w...                   (0.575, 0.5375000000000001)
82   this app is very useful. but,i am not able to ...                                (0.07, 0.3125)
83   wonderful platform. i've been using since it's...                                    (1.0, 1.0)
84   nice app. very useful for creating youtube vid...                                 (0.1225, 0.5)
85   it's better than facebook in my opinion becaus...                                   (0.25, 0.6)
86   amazing  ...ever since i found out about a new...     (0.39496969696969697, 0.6521212121212121)
87   well offcourse for professionl purpose it is o...                     (0.5, 0.5333333333333333)
88   i love instagram. all time favorite app for su...                (0.321875, 0.7377777777777779)
89   love instagram. favourite thing to do in spare...                                    (0.5, 0.6)
90   i used instagram for at least 2 years. no prob...                (-0.06269531249999999, 0.2125)
91   my reel is not posting every time they are sho...                  (-0.041666666666666664, 0.5)
92   i am using instgram from past few year.. but m...     (0.21161616161616162, 0.3327020202020202)
93   it is amazing and features are so wonderful fr...                  (0.7250000000000001, 0.8125)
94   i enjoy this app. i don't like everything bein...                                    (0.4, 0.5)
95   i sepend maximum time on it and its to easy to...      (0.3505050505050506, 0.5257575757575758)
96   dear ig, you can add a button or a small multi...   (-0.08333333333333333, 0.13333333333333333)
97   it works perfectly i didn't have any problems ...      (0.6000000000000001, 0.6000000000000001)
98   the experience is quite superb. i enjoy claeri...                    (0.38499999999999995, 0.8)
99   bro this new new update sucks bcz when i updat...   (0.001515151515151511, 0.46060606060606063)
100  before update when someone text me then showin...                                    (0.0, 1.0)
101  very great social media platform.. but there a...      (0.3364197530864198, 0.5756172839506173)
102  i love to use instagram and share my work expe...    (-0.11750000000000001, 0.5999999999999999)
103  fine, super fine , nice and brilliant social m...     (0.44000000000000006, 0.5433333333333333)
104  hey team meta, both of ur apps are perfect, bu...                                    (0.7, 0.7)
105  this app have not inough 5 starts such a good ...     (0.38619047619047614, 0.6295238095238095)
106  i'm having a few problems with instgram. i'm n...  (-0.040740740740740744, 0.42129629629629634)
107  i really like instagram, being able to share m...                                (0.35, 0.4125)
108  need xkbejdusjsvixgdjsiwijskdishdbjxbekd 6th. ...      (0.2222222222222222, 0.4953703703703704)
109  it is very expensive app but when i post a ree...     (-0.5055555555555555, 0.6655555555555556)
110  one of the amazing social media platform..... ...     (0.3983333333333333, 0.45666666666666667)
111  good, it's the future .and a good platform to ...     (0.2833333333333333, 0.40416666666666673)
112  great to post there and even keep in touch wit...                                  (0.9, 0.525)
113  i'm having a lot of fun with instagram, such a...                                  (0.34, 0.37)
114  very good for educational purpose and the feed...     (0.27199999999999996, 0.6060000000000001)
115  hello instagram, i am a regular user of instag...                   (0.075, 0.4442307692307692)
116  something went wrong with my account ....i was...                               (-0.175, 0.425)
117  my account is not opening. the app is asking f...                                    (0.0, 0.0)
118  not well... i'm facing soo many issues right n...     (0.39285714285714285, 0.5178571428571428)
119  it's very good experience with instagram and i...      (0.32825757575757575, 0.391969696969697)
120  i like this app it is so good if you want to t...                                 (0.5375, 0.4)
121  i don't use any other apps to edit because ins...                 (0.2875, 0.48750000000000004)
122  i think instagram is great. fun is here and us...     (0.5666666666666668, 0.46666666666666673)
123  the new version is not good. the format of use...     (0.10217171717171718, 0.5724242424242425)
124  it's not just a application, it's my whole lif...                                    (0.2, 0.4)
125  there is camera bug after latest update. cant ...                                    (0.5, 0.9)
126  instagram is an amazing source of entertainmen...                  (0.39166666666666666, 0.625)
127  wow this is excellent application for social m...      (0.4866666666666667, 0.6633333333333333)
128  i'm not convinced that direct messages actuall...     (0.24583333333333335, 0.3958333333333333)
129  everything is perfect on instagram, this is ve...                   (0.4712727272727272, 0.596)
130  my previous insta account account was hacked a...     (0.2168888888888889, 0.23811111111111113)
131  it just randomly gets me out of the app. it wa...     (0.17361111111111113, 0.6666666666666666)
132  amazing and, smart to detect our taste and min...      (0.5115646258503401, 0.6251700680272109)
133  puctures and videos speak volumes. i love the ...    (0.21000000000000002, 0.44333333333333336)
134  my instagram account has been hacked since 2 w...                                   (0.25, 0.3)
135  last few days whenever you do remix reels,the ...                   (-0.1, 0.08333333333333334)
136  it's a very great app for posting pictures how...    (0.32500000000000007, 0.48541666666666666)
137  instagram app and lite is the instant golden m...     (0.31249999999999994, 0.6541666666666667)
138  i prefer to used this app because here u can f...                    (0.6901041666666667, 0.75)
139  its amazing  i really like it .entertaining,fu...      (0.5114285714285715, 0.6142857142857142)
140  everything is on this app, from entertainment ...                                    (0.6, 1.0)
141  great way for connecting with new like minded ...      (0.5787878787878787, 0.6515151515151515)
142  this app is very nice it helps to talk with fr...      (0.6193388429752066, 0.4508264462809917)
143  i wish there was a way to show how to use inst...                                   (0.55, 0.7)
144  the best personally it's a good social platfor...      (0.5270833333333333, 0.3354166666666667)
145  it let's you talk with friends ount and in you...   (-0.022380952380952387, 0.6209523809523809)
146  instagram is very easy to use, thou we don't l...                   (0.6816666666666666, 0.875)
147  very good for chatting with your friends and s...                    (0.47, 0.5266666666666667)
148  perfect app but the support is very confusing ...                               (0.1025, 0.455)
149  more photos and reels. less negativity, lots o...     (0.3194444444444445, 0.38888888888888884)
150  my favorite and almost only form of social med...      (0.15555555555555556, 0.580050505050505)
151  i loved it so much ❤️. i had to much fun with ...     (0.16704545454545455, 0.4568181818181818)
152  this is one of my favorites websites that i'm ...                                    (1.0, 0.3)
153  hey instagram, i am not able to upload video s...     (0.06666666666666667, 0.5083333333333333)
154  love the app. use it for business primarily an...     (0.37642857142857145, 0.5904761904761905)
155  it sucks that we can't tap in no more on other...                    (0.0, 0.45999999999999996)
156  keeps my on my toes...as rooky i am constantly...     (0.35000000000000003, 0.5476190476190477)
157  i love instagram. however now they made an upd...                                    (0.5, 0.6)
158  my insta isn't working since two days. neither...                                    (0.0, 0.0)
159  hi. ever since i've updated my instagram on ip...                   (-0.13333333333333333, 0.6)
160  i was thinking about something that i hope its...                                    (0.1, 0.2)
161  very good app but some people use for chitting...                  (0.6425, 0.7650000000000001)
162  its best to increase our knowledge with all as...                                    (1.0, 0.3)
163  very good performance. i love the app so much....                                (0.502, 0.476)
164  i like using instagram but the captions cover ...                 (-0.14500000000000002, 0.335)
165  best social media application ❤️❤️... but it c...     (0.25833333333333336, 0.4666666666666667)
166  i love instagram app it's a better place to me...      (0.4523809523809524, 0.5571428571428572)
167  bugs and bugs every where. software engineer a...                                    (0.0, 0.0)
168  it has amazing features and most nice thing is...     (0.34541666666666676, 0.6729166666666667)
169  it is a very good app for entertainment.. this...      (0.6144444444444445, 0.7377777777777778)
170  it's really good social media app but i am new...     (0.21994949494949492, 0.4021464646464647)
171  suddenly my instagram account is suspended no ...                     (0.0, 0.2833333333333333)
