                                      extracted_emojis                               Sentiment_score
0                  great,there's so many job to apply.                                    (0.5, 0.5)
1    this the best professional platform i have eve...                                   (0.55, 0.2)
2                                 fast and easy to use     (0.31666666666666665, 0.7166666666666667)
3    best app develop ourself with all professional...                                   (0.55, 0.2)
4    super link....thank you..ultradyanamic multi c...      (0.3333333333333333, 0.6666666666666666)
5    water sanitation and hygiene, climate change, ...                                    (0.0, 0.0)
6    it's been almost a decade since i am active wi...     (0.31368631368631367, 0.5042124542124543)
7    it's amazing app connecting professionals acro...                     (0.6000000000000001, 0.9)
8                          connecting and informative.                                    (0.0, 0.0)
9          amazing app i just love this. very helpful.                    (0.43333333333333335, 0.6)
10                         grate and maturity platform                                    (0.0, 0.0)
11   this app make the 20+ years' association stron...                                    (0.0, 0.0)
12   i have attached my resume for your reference a...                                    (0.0, 0.0)
13                         linkedin jobs very nice app                                   (0.78, 1.0)
14   it's very obvious to confirm that the app is w...                                  (0.1, 0.375)
15   this is a very good app and u can get any job ...      (0.9099999999999999, 0.7800000000000001)
16   my first read of the day. usually encouraging ...                 (-0.0375, 0.3458333333333333)
17                      nice, interesting app for jobs                                  (0.55, 0.75)
18   linkedin remains my most preferred app for all...                                   (0.25, 0.4)
19   32 years experience computers, communications,...                                    (0.0, 0.0)
20       very good for knowldege and professional life                  (0.505, 0.44000000000000006)
21   linkedln aap is such a strong n good platform ...     (0.23194444444444443, 0.6486111111111111)
22   wonderful application to connect with like min...                                    (1.0, 1.0)
23                     a great platform for freshers.                                    (0.8, 0.75)
24          nice app for students as well as requiters                                    (0.6, 1.0)
25   linkedin needs no introduction, it's a great p...                                 (0.45, 0.575)
26        it's an great app for connecting with people                                   (0.8, 0.75)
27               excellent app, professional community                                  (0.55, 0.55)
28   best and great application, thanks linkedin ❤️...      (0.6666666666666666, 0.4166666666666667)
29                      great app for great learnings.                                   (0.8, 0.75)
30    incredibly app for professionals and job seekers                                    (0.9, 0.9)
31   an amazing platform to connect and build netwo...                     (0.6000000000000001, 0.9)
32               amazing app and king of opportunities                     (0.6000000000000001, 0.9)
33   nice but sometimes there is problem in connect...                                    (0.6, 1.0)
34                  it's the best app to discover jobs                                    (1.0, 0.3)
35   great connect app of friends, employer , busin...                  (0.35000000000000003, 0.575)
36         it's application is very smoothly  amazing                      (0.6000000000000001, 0.9)
37                               amazing network tool!                     (0.7500000000000001, 0.9)
38   app for professionals. also getting job recomm...                                    (0.5, 0.6)
39   were well and this aap is very helpful for con...                  (0.05500000000000001, 0.495)
40   a very good app! its ever great at providing t...      (0.4642857142857143, 0.3042857142857143)
41   fairly new to linkdin.. enjoying connecting wi...      (0.2878787878787879, 0.5333333333333333)
42   linkedin is the amazing platform to search job...                                    (0.4, 0.6)
43   awesome sight of you are looking for that perf...                   (0.6599999999999999, 0.675)
44   informative and an excellent medium for learni...                                    (1.0, 1.0)
