                                      extracted_emojis                               Sentiment_score
0    the desktop sync experience needs improvement....     (0.24166666666666667, 0.3833333333333333)
1    awesome. no spam. no creeps asking me to meet ...                                  (0.75, 0.75)
2    i love using signal. it's very dependable and ...                   (0.35, 0.44999999999999996)
3    great app but notifications not showing some t...                                   (0.8, 0.75)
4    been using for a couple of years now. had some...    (0.09999999999999998, 0.26666666666666666)
5                     disable auto-update to keep sms!                                    (0.0, 0.0)
6    i like the signal app it's very useful in my e...                                  (0.095, 0.3)
7    this is a great app for chatting with friends....                                   (0.8, 0.75)
8    very minimal and friendly interface. really en...     (0.39899999999999997, 0.6060000000000001)
9    awesome. i hope it never goes away. i wish reg...                     (0.5, 0.5384615384615384)
10   the only thing i wish signal had was the abili...                                   (0.35, 0.8)
11   most secured. more trusted than whatsapp, imo,...                  (0.45999999999999996, 0.525)
12   still significantly better call quality than w...                                    (0.5, 0.5)
13   creating group conversations is made easy with...     (0.43333333333333335, 0.8333333333333334)
14   easy to use, works great, very trustworthy, an...     (0.30976190476190474, 0.5921428571428572)
15   excellent messaging app. great for groups too ...      (0.7999999999999999, 0.8833333333333333)
16   excellent app. very non intrusive, love the vi...      (0.6135416666666668, 0.5750000000000001)
17   works well, but i have to agree. it would be n...      (0.7549999999999999, 0.8900000000000001)
18   since apple will not allow facetime app on and...                               (-0.125, 0.375)
19   great way to get a message out fairly quickly,...                               (0.34, 0.56625)
20   i love this app a while lot the only problem i...     (0.16666666666666666, 0.5750000000000001)
21   all the great features i love from facebook me...                                (0.55, 0.6125)
22   like whatsapp when it was good  p.s.: could we...      (0.5166666666666666, 0.6333333333333333)
23   an app that has historically put me in favorab...                                    (0.0, 0.0)
24   i have find it helpful more than others, thank...                  (0.42000000000000004, 0.665)
25   so far this has been intuitive to use. i've ha...     (0.05714285714285715, 0.7328571428571429)
26   i have been using signal since 2015, and durin...    (0.32857142857142857, 0.19523809523809524)
27   the only messenger i trust. while other messen...    (-0.08166666666666667, 0.5025000000000001)
28   great app! i wonder if you could upgrade the "...                             (0.20625, 0.3875)
29   please read, very important many are having is...               (0.36187500000000006, 0.634375)
30   super handy for communications, but also for s...      (0.4666666666666667, 0.7833333333333333)
31   privacy privacy is at the core of signal and i...      (0.3241666666666666, 0.4708333333333333)
32   amazingly efficient app for talking with frien...                     (0.6000000000000001, 0.9)
33   of course, signal is great. its a great altern...                   (0.5249999999999999, 0.625)
34   privacy settings to auto lock in seconds would...                                   (0.8, 0.75)
35   a feature where the service messages will be s...     (0.18916666666666668, 0.4519871794871795)
36   a really great alternative to other messaging ...                   (0.275, 0.4613636363636363)
37   signal is the app that all other apps should b...     (0.24583333333333335, 0.5236111111111111)
38   no custom backgrounds. desktop app is slow to ...    (0.012499999999999992, 0.4791666666666667)
39   good app, appreciate the privacy. needs an opt...     (0.2333333333333333, 0.20000000000000004)
40   using this, instead of the other "popular" one...      (0.3072916666666667, 0.5322916666666667)
41   i've had this app for a couple of months now. ...                     (0.6, 0.6333333333333334)
42   like the fact that image files are not downloa...                   (0.425, 0.3541666666666667)
43   one of the best apps i have used, very secure ...    (0.35714285714285715, 0.42309523809523814)
44   so far, so good. seems to work well & is secur...                                  (0.325, 0.8)
45   easy to use. i wish it didn't have to be signa...     (0.43333333333333335, 0.8333333333333334)
46   love this app. especially features such as the...                          (0.078125, 0.646875)
47   signal-keep up the great work! for everybody e...      (0.4583333333333333, 0.5499999999999999)
48   well designed, clean interface, stable. signal...    (0.28030303030303033, 0.48878787878787877)
49   like whatsapp but without the facebook baggage...      (0.4333333333333334, 0.7933333333333332)
50   i enjoy the app but the only issue on the app ...     (0.13333333333333333, 0.5222222222222223)
51   i've been using signal for about two years now...    (0.33119047619047615, 0.49309523809523814)
