                                      extracted_emojis                               Sentiment_score
0    tik tok is one of the best apps out there for ...      (0.2816666666666666, 0.3283333333333333)
1    it's good but i wish we could add more to text...                  (0.33999999999999997, 0.545)
2    i'm too shy to post anything, but i do love wa...   (-0.026388888888888892, 0.5138888888888888)
3    maybe tutorials on how to be sure ur using all...      (0.31012987012987014, 0.552063492063492)
4    one of the best..most fun. apps .i've ever bee...      (0.3563683712121212, 0.6234848484848484)
5    it is a great app you start off liking videos ...                    (0.6250000000000001, 0.75)
6    very enjoyable. i have alot of favourites that...     (0.36041666666666666, 0.7579166666666668)
7    i don't want to sit here and be another compla...     (0.28231534090909094, 0.5136363636363637)
8    automatically rotate videos that are posted as...   (-0.08072916666666667, 0.33541666666666664)
9    it's fun..making vedios and having new friends...      (0.4153409090909091, 0.5636363636363637)
10   it would be so much better if some creators wo...                 (0.42265624999999996, 0.6875)
11   i think this app is really cool! it is a reall...               (0.384375, 0.28750000000000003)
12   this app is amazing. i can express myself, and...                                 (0.32, 0.565)
13   this app is just fabulous ..... it's a great w...                                   (0.4, 0.51)
14   it's good but like there's too much loading.. ...                    (0.27499999999999997, 0.5)
15   this is amazing apps for entertainment and pla...     (0.28809523809523807, 0.5571428571428572)
16   i think the tiktok app is the best app of the ...                   (0.85, 0.45000000000000007)
17   i can't level without this app i love it so mu...     (0.22142857142857145, 0.5214285714285715)
18   the app was great i have had no problems out o...                     (0.6, 0.7197916666666666)
19   tiktok has to be the best fun app at the momen...     (0.4011904761904762, 0.34761904761904766)
20   it has said that my server is currently unavai...                    (0.0, 0.15555555555555556)
21   it has been fun and u can like tour friends vi...                  (0.5275, 0.4700000000000001)
22   had to warm up to tik tok but i love it and al...                (0.203125, 0.7250000000000001)
23   great app. just a word of warning this app is ...     (0.16111111111111112, 0.5347222222222222)
24   i love this app. i rarely see the same content...      (0.3433333333333333, 0.6258333333333334)
25   the app is very good, but sometimes videos get...     (-0.2046153846153846, 0.6384615384615385)
26   love tiktok because it gives me a chance to se...                                (0.125, 0.525)
27   love the videos. enjoy making my own videos an...                              (0.609375, 0.75)
28   tiktok will always make me feel better and i l...     (0.23611111111111108, 0.5472222222222222)
29   honestly, this app is fun and that's rare thes...      (0.2666666666666667, 0.4533333333333334)
30   the thing with the tiktok app is to connect pe...                                    (0.0, 0.3)
31   it's really awesome.. whenever i have a time i...                                   (0.65, 0.6)
32   to be honest i watch tiktok when ever i'm bore...                                   (0.75, 0.9)
33   this app is so much fun, you get to make frien...     (0.37749999999999995, 0.5225000000000001)
34   it's the best app yet, i enjoy everything abou...       (0.2454545454545455, 0.540909090909091)
35   i liked this app because it's good and easy to...      (0.6083333333333333, 0.7083333333333334)
36   i've had tiktok for a long time it's the only ...                  (0.16666666666666666, 0.625)
37   hey i'm not able to get back into my account a...     (0.08376623376623378, 0.2720779220779221)
38   totally amazing.. never got the social media i...     (0.28148148148148144, 0.5925925925925926)
39   really great platform. various options of what...                   (0.425, 0.5583333333333333)
40   it is mostly good but you can get to some part...                   (0.35, 0.36250000000000004)
41   great app. love this app because it's just an ...                     (0.6, 0.6166666666666667)
42   this is the best app ever!!! but it takes up a...    (0.16874999999999998, 0.44166666666666665)
43   i love this app and i never really had any big...                  (0.16458333333333333, 0.425)
44   tiktok is one of the best social and entertain...     (0.3825757575757576, 0.43939393939393945)
45   easy to use.. met alot of amazing people and i...      (0.5083333333333334, 0.8145833333333333)
46   it gives a level playing field (if you are ric...               (0.037500000000000006, 0.66875)
47   a very good experience..i love the bible..so i...                                (0.734, 0.732)
