                                      extracted_emojis                              Sentiment_score
0    it’s great to use this application for video m...                                  (0.8, 0.75)
1    in my reach this great video editor is the bes...                          (0.465625, 0.60625)
2    good nd easy to use... but try to upgrade the ...     (0.5666666666666667, 0.7166666666666668)
3    convenient application with extremely nice per...                                   (0.8, 1.0)
4    had the nicest experience i could ever have as...                                  (0.25, 0.2)
5    so far this has been a great place to display ...                  (0.425, 0.8333333333333334)
6    loved triller very much as it is one of the fi...                                 (0.48, 0.53)
7    triller is a good music sight but can you guys...                   (0.44999999999999996, 0.5)
8    4yrs now..and triller keeps getting better..bu...                    (0.6, 0.5833333333333334)
9    all new features can be used for my betterment...   (0.13636363636363635, 0.45454545454545453)
10   it is quite fun and easy..it helps me kill tim...     (0.3277777777777778, 0.6777777777777777)
11   it’s awesome to use this application for video...                    (0.6, 0.7000000000000001)
12   application given me great services for music ...                               (0.64, 0.6775)
13   impressed with a features of triller tiktok ap...                  (0.625, 0.6666666666666666)
14   the best thing sense the gram but a lot more e...                                 (0.51, 0.37)
15   i clicked a lot of picture on tik tok and edit...                                   (0.0, 0.0)
16   finance creation by developers for video edito...                                  (0.8, 0.95)
17   triller has changed my life. it gives me meani...                                   (0.2, 0.2)
18   this tik tok video editor is a very impact ful...                    (0.3566666666666667, 0.5)
19   i tried using other tik tok video editor app f...                  (0.25, 0.35000000000000003)
20   i actually have by no means confronted any tro...                                 (0.05, 0.45)
21   i love as an artist best way to express yourse...                    (0.5, 0.3833333333333333)
22   to be honest triller is fun and very nice beca...     (0.6333333333333333, 0.7000000000000001)
23   would be better if you could stop recording in...                 (0.09999999999999999, 0.375)
24   amazing app with cool filters and editing feat...                (0.48750000000000004, 0.7625)
25   i like this app and you van make cool video's ...                                 (0.575, 0.7)
26   very powerful and really very genuine service ...                               (0.455, 0.825)
27   the software provides a large selection of tun...     (0.3238095238095238, 0.6309523809523809)
28   this application has made it very easy to use ...                    (0.7877777777777778, 1.0)
29   now my stories of instagram looks more cool wi...     (0.4166666666666667, 0.5166666666666666)
30   just on content alone! triller should be so pr...                (0.14583333333333334, 0.7125)
31   the fact that it shuffles the video, then give...                    (0.7800000000000001, 1.0)
32   great effects easy to use and can enjoy it any...      (0.4424242424242424, 0.634469696969697)
33   finest app and primary utility for music video...                   (0.30000000000000004, 0.4)
34   i mistakenly deleted my triller videos from my...                                   (0.0, 0.0)
35   thank you so much developers for this amazing ...     (0.3333333333333333, 0.5666666666666668)
36   trillier:is a very good app you should try it ...    (0.4033333333333333, 0.46000000000000013)
37   this application makes my video look very cool...                 (0.5275000000000001, 0.8725)
38   this app user scan enjoy a hi utility function...                                   (0.5, 0.7)
39   the purpose for which i am giving this tik tok...                                   (0.0, 0.0)
40   it's a fun way to make videos and its really f...                                 (0.275, 0.6)
41   it is good for dancing and having fun i love i...     (0.5499999999999999, 0.4000000000000001)
42   one of best musica and video editing apps with...     (0.6568181818181819, 0.5015151515151516)
43   i love this a pp  right now and will be back o...   (0.33253968253968247, 0.46208112874779533)
