                                      extracted_emojis                               Sentiment_score
0    love this app. you can tell a lot of thought w...                  (0.37117187500000004, 0.795)
1    i think this apps have a great chance to be th...    (0.33333333333333337, 0.35416666666666663)
2    it's an under rated social media platform curr...   (0.016666666666666666, 0.23333333333333334)
3    *edit* it got better! still a lot to fix but i...                                 (0.3125, 0.5)
4    they should have marketers and brand ambassado...                                   (-0.2, 0.1)
5    fantastic, i feel 10x more secure than any oth...                          (0.2859375, 0.59375)
6    edited for my previous review .. activation co...     (0.11666666666666668, 0.5333333333333333)
7    instagram will soon offer pulling our content ...                                    (0.0, 0.0)
8    making social media social again! absolutely l...    (0.10468749999999999, 0.27708333333333335)
9    the best social media app, its such a greate a...     (0.43333333333333335, 0.3666666666666667)
10   great. fantastic support team and very fast an...      (0.4650000000000001, 0.7658333333333333)
11   perfect social media app just needs an option ...      (0.5166666666666667, 0.5333333333333333)
12   love it best social app going everything you  ...      (0.4547619047619048, 0.3755952380952381)
13   that's the best social media this days. great ...      (0.5833333333333334, 0.5291666666666667)
14   خیلی خوبه دیگه بهتر از این نمیشه  هرکس موفق هس...                                    (0.0, 0.0)
15   best social app ever. compared to all the rest...      (0.4444444444444445, 0.2888888888888889)
16   great keep it up! expecting more great content...                             (0.7353125, 0.58)
17   great app so far!! by far the best social medi...     (0.42166666666666675, 0.6233333333333333)
18                   will just get better as it grows.                                    (0.5, 0.5)
19          i love it so far and i'm liking the layout                                    (0.3, 0.8)
20   i like the app. but sadly.... none of my frien...   (-0.060317460317460325, 0.5341269841269841)
21   just love this app...!!!but i can't upload any...    (0.09999999999999999, 0.25555555555555554)
22                        nice, swap from fakebook now                                    (0.6, 1.0)
23   problem fixed thanks for being quick and for r...                     (0.2111111111111111, 0.3)
24   i had an account with 1900 followers on it and...                                    (0.0, 0.0)
25   the best app ever!!! everything is better on v...                                   (0.75, 0.4)
26                          clean, beautiful platform.      (0.6083333333333334, 0.8500000000000001)
27         só quero que a rede cresça, amei a proposta                                    (0.0, 0.0)
28                     توووپ  ولی بلد نیسم باهاش بکارم                                    (0.0, 0.0)
29                                          great app.                                   (0.8, 0.75)
30                                            best app                                    (1.0, 0.3)
31                        excellent concept and secure                                    (0.7, 0.8)
32                                           great app                                   (0.8, 0.75)
33                                            good app                     (0.7, 0.6000000000000001)
34                                           beautiful                                   (0.85, 1.0)
35                                                nice                                    (0.6, 1.0)
36                                          underrated                                    (0.0, 0.0)
37                                           love this                                    (0.5, 0.6)
38                                                                                        (0.0, 0.0)
39                                                  ☠️                                    (0.0, 0.0)
40                                               عالیه                                    (0.0, 0.0)
41   this app is great, i like being able to share ...    (0.39461805555555557, 0.47500000000000003)
42   just like anything new, you are always making ...     (0.38892045454545454, 0.6193181818181818)
43   great app! a great start of a new network. wou...       (0.4872727272727273, 0.530909090909091)
44   i'm excited about the potential of this app al...    (-0.00833333333333334, 0.8166666666666668)
45   i don't know why people are complaining. it wo...                                    (0.4, 0.5)
46   i think it is a really interesting new social!...      (0.3325757575757576, 0.3958874458874459)
47   awesome app  addicted to this app.. there are ...      (0.3666666666666667, 0.7000000000000001)
48   i really like the feel of vero so far. whereas...    (0.12916666666666668, 0.41666666666666663)
49   so far, when the app works, it works very well...                     (0.1, 0.4533333333333333)
50   i followed the buzz and tried out vero. i like...                                  (0.55, 0.75)
51   i love the concept behind this app!  the way i...                            (0.1625, 0.515625)
52   enjoying this way more than facebook.  only re...                     (0.3, 0.6714285714285715)
53    yet you have few bugs but still i love this app.                                  (0.15, 0.35)
54   absolutely beautiful interface, couple bugs th...                   (0.425, 0.6666666666666666)
55   after the initial bugs due to obvious high vol...    (0.12567099567099566, 0.46945887445887446)
56   feels refreshing and different compared to fac...                               (0.525, 0.8875)
57   vero is dope!!! lots of user controls and a be...      (0.3833333333333333, 0.5666666666666668)
58   i hate social media. i love this app. 'nuff sa...     (-0.0888888888888889, 0.5222222222222223)
59   i love the concept of it and i really want it ...                   (0.32499999999999996, 0.55)
60   does exactly as it advertises. glad to see it ...                    (0.4166666666666667, 0.75)
61     i like this,good interface,better then fb,insta                                    (0.0, 0.0)
62                   i think its better than instagram                                    (0.5, 0.5)
63          another a bit anti mainstream social media    (0.03333333333333333, 0.06666666666666667)
64                          the new, cooler instagram.    (0.13636363636363635, 0.45454545454545453)
65     a really cool app can't wait for new updates!!!      (0.3081676136363636, 0.5522727272727272)
66                                      it is so good!                   (0.875, 0.6000000000000001)
67                                          love this!                                  (0.625, 0.6)
68                              saner social platform.    (0.03333333333333333, 0.06666666666666667)
69                                     best evin insta                                    (1.0, 0.3)
70                                           very good      (0.9099999999999999, 0.7800000000000001)
71                                                good                     (0.7, 0.6000000000000001)
72                                           get insta                                    (0.0, 0.0)
73   oh i love this app. it's in chronological orde...      (0.2604166666666667, 0.4833333333333334)
74   the bugs get exponentially better every day, c...     (0.12222222222222222, 0.2152777777777778)
75   edit: i had to exit out of the app and log in,...    (0.039218073593073596, 0.2789908008658009)
76   after using vero for one week i really like it...                  (0.0708333333333333, 0.5125)
77   this app is great! the interface is way much b...                  (0.45999999999999996, 0.495)
78   this is a really great new social media app. a...     (0.2846049783549784, 0.44560786435786437)
79   such a clean interface and i love the communit...     (0.30357142857142855, 0.5034013605442177)
80   okay at first i gave it 3 stars because litera...      (0.3576923076923077, 0.5120879120879122)
81   there is definitely a lot of potential for ver...     (0.24333333333333332, 0.6596296296296296)
82   i like the concept behind this, but dev need t...    (0.015000000000000003, 0.4116666666666666)
83   it's getting better with but fixes and improve...      (0.2866666666666667, 0.3933333333333333)
84   i love the concept of this app, and the ui is ...     (0.40166666666666667, 0.6616666666666667)
85   it literally cleaned up all the things we don'...                                    (0.0, 0.0)
86   earlier i give two stars as i was not able to ...               (0.037500000000000006, 0.65625)
87   a little too worn out of ig already. i'm likin...     (0.23124999999999998, 0.6416666666666667)
88   i like the app. it's a little slow and crashes...     (0.13999999999999999, 0.5577777777777777)
89   wonderful and easy to use, especially for an a...     (0.24322916666666666, 0.6979166666666667)
90   in love with this app already it's so easy to ...                    (0.3983333333333333, 0.65)
91   after they fixed the servers or whatever that ...     (0.02555555555555557, 0.5366666666666667)
92   getting started was a bit of a flop, but now t...                    (0.4, 0.41500000000000004)
93   the app seems to have issues here and there, b...                                   (0.4, 0.85)
